"","Seller_ID","Product","Seller","Star","No.ofRatings","Price","Shipping_Info","COD","Positive","Amazon_Fulfilled","URL","Rev_URL"
"739","A2P93XTVV58FO6","Electric Heat Bag Hot Gel Bottle Pouc...","twin overseas",NA,NA,"  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_7/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A2P93XTVV58FO6","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2P93XTVV58FO6&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"740","A1ITV0G06LW66Y","Electric Heat Bag Hot Gel Bottle Pouc...","P S Overses",NA,NA,"  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_8/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A1ITV0G06LW66Y","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1ITV0G06LW66Y&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"741","A1T777KFKD497H","Electric Heat Bag Hot Gel Bottle Pouc...",NA,NA,NA,"  Rs. 510.00"," +   Rs. 62.05
Delivery 
","  Rs. 510.00 +   Rs. 62.05  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_9/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A1T777KFKD497H","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1T777KFKD497H&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"742","AFFSLKRTBLGXE","Electric Heat Bag Hot Gel Bottle Pouc...","Paakhi Collections",NA,NA,"  Rs. 530.00"," +   Rs. 50.00
Delivery 
","  Rs. 530.00 +   Rs. 50.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_10/275-2637003-3250760?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=AFFSLKRTBLGXE","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AFFSLKRTBLGXE&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"743","A19RDI9ICOKTCI","Electric Heat Bag Hot Gel Bottle Pouc...","ShopIndia91",NA,NA,"  Rs. 530.00"," FREE Delivery. 
","  Rs. 530.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_1/277-8570777-1783303?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A19RDI9ICOKTCI","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A19RDI9ICOKTCI&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"744","A1T777KFKD497H","Electric Heat Bag Hot Gel Bottle Pouc...",NA,NA,NA,"  Rs. 530.00"," +   Rs. 62.05
Delivery 
","  Rs. 530.00 +   Rs. 62.05  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_2/277-8570777-1783303?ie=UTF8&asin=B00MK26LKY&isAmazonFulfilled=0&seller=A1T777KFKD497H","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1T777KFKD497H&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"745","A1XEJDU252WEM1","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","superelectrical",NA,NA,"  Rs. 567.00"," FREE Delivery. 
","  Rs. 567.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_1/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A1XEJDU252WEM1","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1XEJDU252WEM1&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"746","AGC1AL6MTJ4GV","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","SHRESHTH ELECTRICALS","3.1","13","  Rs. 420.00"," +   Rs. 147.48
Delivery 
","  Rs. 420.00 +   Rs. 147.48  DeliveryCash on Delivery eligible ","46% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=AGC1AL6MTJ4GV","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AGC1AL6MTJ4GV&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"747","AAY12V8FB0Z47","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","DKRDES",NA,NA,"  Rs. 575.00"," FREE Delivery. 
","  Rs. 575.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_3/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=AAY12V8FB0Z47","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AAY12V8FB0Z47&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"748","A1HOE1GWU93QZC","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","BS Merchandising",NA,NA,"  Rs. 545.00"," +   Rs. 50.00
Delivery 
","  Rs. 545.00 +   Rs. 50.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_4/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A1HOE1GWU93QZC","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1HOE1GWU93QZC&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
